#All info
#Other info
probeset_id	Indiv1	Indiv2	Indiv3	Indiv4	Indiv5	Indiv6	Indiv7	Indiv8	Indiv9	Indiv10	Indiv11	Indiv12	Indiv13	Indiv14	Indiv15	Indiv16	Indiv17	Indiv18	Indiv19	Indiv20	Indiv21	Indiv22	Indiv23	Indiv24	Indiv25	Indiv26	Indiv27	Indiv28	Indiv29	Indiv30	Indiv31	Indiv32	Indiv33	Indiv34	Indiv35	Indiv36	Indiv37	Indiv38	Indiv39	Indiv40	Indiv41	Indiv42	Indiv43	Indiv44	Indiv45	Indiv46	Indiv47	Indiv48	Indiv49	Indiv50	Indiv51	Indiv52	Indiv53	Indiv54	Indiv55	Indiv56	Indiv57	Indiv58	Indiv59	Indiv60	Indiv61	Indiv62	Indiv63	Indiv64	Indiv65	Indiv66	Indiv67	Indiv68	Indiv69	Indiv70	Indiv71	Indiv72	Indiv73	Indiv74	Indiv75	Indiv76	Indiv77	Indiv78	Indiv79	Indiv80	Indiv81	Indiv82	Indiv83	Indiv84	Indiv85	Indiv86	Indiv87	Indiv88	Indiv89	Indiv90	Indiv91	Indiv92	Indiv93	Indiv94	Indiv95	Indiv96	Indiv97	Indiv98	Indiv99	Indiv100
Marker_1-A	1013.704	232.643	230.712	539.669	6024.014	3701.74	8597.082	841.215	2433.183	2076.11	2228.849	836.063	920.847	399.505	1583.013	949.373	361.348	1211.015	1258.654	2486.624	711.169	582.53	464.618	565.003	2577.382	1567.066	333.574	561.015	17321.958	52.267	1981.368	269.324	4795.878	183.842	714.167	143.018	7268.559	7645.897	514.283	508.579	654.756	48.697	429.748	2047.005	2161.851	120.405	529.379	21285.915	10168.091	2539.231	997.837	176.252	311.785	184.087	41.217	22853.287	1136.54	978.167	1872.581	1768.098	1140.755	3615.189	472.21	3376.287	387.461	59.194	180.69	5039.082	498.09	264.541	46.399	1297.861	2955.037	618.378	533.854	2375.561	7127.336	718.998	10787.988	1259.105	1088.456	1516.081	39.706	686.777	3391.724	1439.938	511.586	757.974	1933.345	438.839	117.05	486.351	1393.746	11882.896	374.117	939.596	367.261	228.688	444.15	1205.334
Marker_1-B	270.741	986.536	384.794	280.326	3653.294	2230.963	15876.967	3344.243	1377.554	3467.089	531.225	194.287	535.005	1565.542	2741.367	228.439	189.981	314.245	284.91	611.782	175.357	931.111	133.271	145.73	1456.523	2544.648	1559.729	2364.65	10897.365	224.907	499.656	1090.253	9194.66	859.192	174.552	617.023	11349.181	14850.59	984.913	126.984	151.635	199.087	1704.836	9015.78	509.138	546.662	149.087	12701.42	18952.92	1506.799	1562.158	627.386	1146.11	50.022	167.441	36829.134	2077.075	1556.761	3252.745	3048.043	276.678	6512.098	1876.915	867.288	233.341	253.067	774.713	1277.762	2094.167	1066.721	183.067	5509.763	1611.259	1160.235	304.243	4018.47	4141.32	419.582	17326.351	799.712	266.517	368.064	148.419	361.824	1995.109	365.981	911.981	199.028	3399.247	128.044	470.933	904.812	762.514	21722.822	87.489	252.15	83.876	819.972	227.773	2318.981
Marker_2-A	1223.767	3663.511	794.897	404.488	1940.89	1940.874	925.649	6189.706	574.624	497.036	160.203	553.212	580.913	466.757	1202.602	1262.647	30.005	693.619	2388.578	112.43	955.164	977.175	4005.326	1570.289	205.264	900.522	133.561	830.983	2229.243	2750.706	524.796	1511.206	2635.562	2999.224	16579.026	951.855	359.179	597.123	2173.602	121.935	255.541	1451.574	2774.95	1020.447	1681.036	962.878	1721.742	919.49	11470.968	5378.917	3059.762	12515.39	2679.427	47.226	2224.554	532.383	1092.445	130.55	674.003	701.223	852.774	370.455	5751.939	5561.461	817.56	888.545	3129.253	377.419	885.218	10810.207	2336.091	899.454	233.701	73.017	711.955	215.679	430.022	261.94	4373.511	3062.327	828.752	1139.883	4296.458	1571.154	1700.465	14944.88	5214.041	285.822	3962.209	1613.839	2665.78	447.907	7365.551	1071.587	4402.52	6429.957	742.323	2471.565	1262.151	2372.17
Marker_2-B	2184.385	2157.609	1201.478	1589.867	1133.048	463.355	1791.577	3394.242	327.535	824.831	580.594	135.824	1067.65	1828.673	1919.753	806.686	114.679	1147.775	4445.417	486.069	244.898	549.885	6280.327	393.179	800.483	221.5	600.99	1332.685	527.459	692.587	134.532	2590.863	4630.602	1558.513	11549.738	1278.718	92.261	2155.483	3619.985	463.211	1069.671	852.627	1585.479	1794.919	2764.286	541.407	3100.533	225.606	6287.505	2909.141	4984.793	23474.588	4808.808	181.745	4082.718	876.965	654.762	540.783	2848.191	2807.626	3435.4	1599.075	1491.431	3053.42	232.076	3790.686	1877.435	650.492	220.382	2738.645	3534.767	3683.908	60.931	300.752	174.747	939.373	1624.65	506.269	2929.668	5529.13	1454.319	4638.707	2631.168	365.477	2920.802	8660.991	1152.044	484.156	7159.63	6724.454	774.929	771.471	3998.558	710.336	2627.172	3485.298	439.832	644.751	2211.326	588.515
Marker_3-A	244.264	3188.677	1074.354	644.123	182.699	1665.75	4164.048	69.066	3145.097	2338.134	1647.971	2716.385	4298.426	361.512	997.557	2261.929	5543.596	1747.462	653.46	2568.98	759.193	78.423	94.599	681.547	7699.129	8876.282	113.68	1903.376	1471.872	389.472	3466.368	411.12	422.815	3477.55	1633.266	1038.408	955.847	2826.909	193.604	455.122	116.474	410.786	2160.791	495.051	77.44	1651.208	1461.897	696.669	2572.759	387.764	1406.164	3964.394	882.778	2726.421	515.085	2834.171	1395.046	3339.026	270.806	1731.276	3416.927	139.978	5453.092	133.502	3153.455	125.85	91.162	788.247	918.991	2804.246	1367.702	2495.09	1053.5	147.858	7822.59	187.535	1122.243	1985.026	1041.672	479.963	1762.703	2944.322	1727.419	713.122	3679.479	5213.316	78.652	365.544	73.961	1570.153	1932.963	833.155	161.371	2065.495	1423.67	2427.827	4039.241	11479.119	263.14	1965.438
Marker_3-B	885.597	5158.446	271.636	1194.905	699.898	1036.387	7343.817	290.163	1810.821	4105.39	3293.025	1364.483	2493.64	86.29	4065.985	3808.874	2977.071	430.762	2705.499	4456.963	1146.087	297.714	369.203	356.281	12706.802	4674.823	442.544	538.214	2719.089	1648.961	2199.883	1742.576	1661.598	1771.609	3141.67	265.847	262.757	689.582	736.221	123.616	206.867	717.12	1248.006	1018.465	293.374	3168.7	911.054	177.161	1568.842	104.405	372.423	1018.569	216.277	5027.838	274.519	705.334	294.561	5434.106	73.092	478.705	1983.093	521.544	3142.668	508.611	5281.269	503.805	362.944	412.087	1748.529	5105.85	768.118	642.399	256.183	595.869	13844.679	780.423	4443.082	1109.396	560.935	2082.943	3142.688	638.199	7147.541	2789.402	1889.995	9065.564	332.932	204.775	301.872	417.895	3394.169	1357.244	105.64	503.902	2531.129	598.308	7131.338	19897.577	1020.661	3278.485
Marker_4-A	341.241	14721.007	4765.398	300.711	3115.952	58.73	1067.077	2789.757	3132.621	154.459	349.154	1032.391	97.805	14685.651	108.388	1278.255	870.979	2134.934	1680.789	1342.551	339.103	125.545	1629.771	561.815	3948.154	1497.493	673.888	122.262	2978.541	4152.967	4522.508	6426.599	3132.393	587.866	4940.146	7504.423	645.753	442.796	6540.547	1233.11	1031.339	191.505	2300.028	986.049	3045.142	826.028	935.288	90.382	132.73	419.793	11722.337	14983.005	1510.162	2339.456	530.181	613.547	1675.728	4683.886	3294.475	1338.17	834.351	132.062	420.559	3415.667	123.414	2264.652	22.178	7181.104	167.838	615.882	71.697	8855.698	7443.765	2681.193	3324.581	5588.488	1052.099	1380.023	520.549	1289.623	789.914	2021.787	1606.865	2822.904	395.087	1245.416	775.996	11000.858	1709.446	285.246	2098.835	1276.685	3937.337	263.558	1079.784	389.34	2323.742	915.203	1006.213	604.491
Marker_4-B	1241.513	22677.856	1078.971	70.028	788.934	229.534	1643.981	1755.24	1739.168	605.229	1341.239	3439.315	23.01	8830.299	481.565	2367.29	214.73	585.088	410.522	5038.816	1435.968	491.335	970.827	329.948	7597.783	2649.496	160.389	536.062	5525.115	7556.235	8023.167	1618.016	1773.222	1017.242	8843.588	1799.728	374.299	1839.376	10715.643	740.442	273.714	769.775	4391.233	557.663	5305.666	196.785	1777.176	377.964	465.852	698.963	3061.726	26630.245	2576.684	4038.415	138.591	2445.644	486.831	2865.227	1861.872	782.975	1517.012	538.254	101.997	1856.791	384.836	553.571	88.85	12954.93	630.093	169.192	269.52	2110.272	3592.835	10803.108	5196.105	1284.785	249.922	321.09	140.887	720.284	1339.403	3121.487	2954.511	1737.258	245.009	2239.713	1524.248	5751.089	2922.475	67.099	582.093	4927.909	6582.332	167.026	1813.005	107.283	529.693	201.579	259.021	2378.726
Marker_5-A	2034.439	20464.376	4070.54	401.636	9718.19	2405.157	273.525	105.96	1306.795	88.291	53.656	622.596	564.188	129.619	3150.886	470.539	3556.156	261.295	3601.047	1240.183	105.751	333.878	442.821	2580.536	1113.888	249.695	225.274	11042.231	1627.027	3116.019	823.331	166.529	3496.982	1639.749	201.522	172.745	1066.173	227.317	931.645	679.824	1964.021	168.46	10130.755	790.383	3840.519	290.826	3813.582	1326.438	526.021	3117.156	1567.472	2810.778	1134.588	754.122	780.432	302.63	4518.152	1363.611	1016.842	7471.999	8256.616	520.9	966.414	174.911	447.607	768.693	986.409	126.695	3415.397	812.603	7655.898	1501.699	5045.823	3389.804	2042.376	298	605.794	455.342	520.286	228.632	905.974	2769.645	454.068	169.966	1176.523	1130.396	8646.768	105.683	451.585	3472.543	88.546	15328.194	1242.535	185.275	1456.958	814.011	4085.682	9806.562	759.673	6763.925
Marker_5-B	1334.117	5244.586	2451.823	714.812	5375.666	1470.139	1067.914	439.478	685.119	373.482	233.817	169.46	137.849	537.294	5426.486	106.651	2199.543	1126.764	879.692	689.886	28.076	1275.67	1660.956	1350.264	651.549	961.004	55.15	6350.444	6208.135	702.32	2971.658	692.73	777.257	884.921	56.007	709.428	1957.436	64.821	1555.544	2795.956	1128.879	719.786	5977.299	214.72	2213.349	1035.635	1850.928	721.47	133.414	5188.11	406.354	682.894	269.439	1373.7	211.462	1243.364	8277.677	785.111	3854.144	1855.856	4733.955	340.946	268.876	712.298	105.585	1366.16	232.421	544.982	1709.598	3184.519	13034.783	351.778	1301.17	6910.298	501.56	1143.301	144.386	256.047	296.194	805.52	3622.775	1646.204	837.794	659.448	5096.772	1923.067	2274.909	425.245	1546.765	1957.968	321.934	25245.629	289.795	695.052	355.146	1651.302	2521.21	5531.848	174.191	2122.656
